serving_size_raw_mintel,serving_size_raw_walmart,serving_size_raw_exact_match,name_mintel,name_walmart,name_exact_match,calories_mintel,calories_walmart,calories_exact_match,saturatedfat_mintel,saturatedfat_walmart,saturatedfat_exact_match,sodium_mintel,sodium_walmart,sodium_exact_match,upc_code,total_match_count
15 ml,15 ml,True,Vanilla Almond for Coffee Coffee Whitener,"SILK Almond for coffee, Vanilla Flavour, 890ml",False,25.0,25.0,True,0.0,0.0,True,0.015,0.015,True,3663207545.0,3
15 ml,15 ml,True,Red Wine Vinegar,"Colavita Aged Red Wine Vinegar, Glass Bottle",False,3.0,3.0,True,,0.0,False,,0.0,False,3915341305.0,1
34 g,nan,False,Gluten Free All-Purpose Baking Flour,Bob's Red Mill Gluten Free All Purpose Baking Flour,False,120.0,,False,0.0,,False,0.004,,False,3997833452.0,0
60 ml,nan,False,Green Salsa Verte,Mrs. Renfros Gluten-Free Green Salsa,False,15.0,,False,0.0,,False,0.49,,False,4123500063.0,0
60 ml,nan,False,Habanero Salsa,Mrs. Renfros Gluten-Free Habanero Salsa,False,20.0,,False,0.0,,False,0.56,,False,4123500070.0,0
1 g,1 g,True,Seasoning with Coriander & Annatto,Sazon Goya Coriander and Annatto Seasoning,False,0.0,0.0,True,0.0,0.0,True,0.17,0.17,True,4133103782.0,3
1 g,1 g,True,Seasoning with Saffron,Sazon Goya Unique Seasoning with Saffron,False,0.0,0.0,True,0.0,0.0,True,0.16,0.15,False,4133103784.0,2
1 g,1 g,True,Adobo All Purpose Seasoning without Pepper,Goya Adobo All Purpose without Pepper Seasonning,False,0.0,0.0,True,,,False,0.36,0.36,True,4133107806.0,2
15 ml,nan,False,Seasoned Rice Vinegar,Kikkoman Seasoned Rice Vinegar,False,20.0,,False,,,False,0.51,,False,4139002033.0,0
330 ml,330 ml,True,Blood Orange & Black Raspberry Carbonated Natural Mineral Water,S. Pellegrino Essenza Blood Orange & Black Raspberry,False,0.0,0.0,True,,,False,0.01,0.01,True,4150830284.0,2
60 ml,nan,False,Mild Chunky Salsa,Pace Mild Chunky Salsa,False,25.0,,False,0.0,,False,0.48,,False,4156534024.0,0
250 ml,nan,False,Almond Coconut Unsweetened Original Non-Dairy Beverage,Blue Diamond Almond Breeze Unsweetened Coconut,False,45.0,,False,1.0,,False,0.125,,False,4157009446.0,0
237 ml,None None,False,Chocolate Naturally Flavoured Complete Nutrition,BOOST High Protein Chocolate Meal Replacement Drink,False,,,False,1.0,,False,0.25,,False,4167920285.0,0
237 ml,None None,False,Meal Replacement Variety Pack,BOOST Original Variety Pack Meal Replacement Drink,False,,,False,0.0,,False,0.265,,False,4167926902.0,0
237 ml,None None,False,Strawberry Flavoured Meal Replacement Drink,BOOST High Protein Strawberry Meal Replacement Drink,False,,,False,1.0,,False,0.25,,False,4167930881.0,0
237 ml,None None,False,Vanilla Naturally Flavoured Meal Replacement,BOOST High Protein Vanilla Meal Replacement Drink,False,,,False,1.0,,False,0.25,,False,4167945165.0,0
10 ml,10 ml,True,Organic Rich Taste Extra Virgin Olive Oil,Bertolli Organic Rich Taste Extra Virgin Olive Oil,False,80.0,80.0,True,1.0,1.5,False,,,False,4179060119.0,1
,nan,False,Espresso Decaffeinato Decaffeinated Roasted Ground Coffee,Lavazza Espresso Decaffeinated,False,,,False,,,False,,,False,4195301108.0,0
,nan,False,Caffe Espresso Roasted Ground Coffee,Lavazza Caffe Espresso Ground Coffee Tin,False,,,False,,,False,,,False,4195301450.0,0
,nan,False,Perfect Symphony Premium Selection Roasted Ground Coffee,Lavazza Qualita Oro Ground Coffee,False,,,False,,,False,,,False,4195301941.0,0
,nan,False,Creamy and Aromatic Whole Bean Coffee,Lavazza Espresso Crema e Aroma Whole Bean Coffee,False,,,False,,,False,,,False,4195302552.0,0
,nan,False,Roasted Ground Coffee,Lavazza Rossa Ground Espresso Coffee,False,,,False,,,False,,,False,4195303615.0,0
,nan,False,Classic Roasted Ground Coffee,Lavazza Crema e Gusto Espresso Coffee,False,,,False,,,False,,,False,4195303835.0,0
,nan,False,Gran Aroma Light Roast Ground Coffee,Lavazza Gran Aroma Medium Roast Specialty Ground Coffee,False,,,False,,,False,,,False,4195307505.0,0
,nan,False,Classico Medium Roast Ground Coffee,Lavazza Classico Medium Roast Specialty Ground Coffee,False,,,False,,,False,,,False,4195307506.0,0
,nan,False,Perfetto Dark Roast Ground Coffee,Lavazza Perfetto Espresso Roast Specialty Ground Coffee,False,,,False,,,False,,,False,4195307507.0,0
,nan,False,Gran Selezione Dark Roast Ground Coffee,Lavazza Gran Selezione Dark Roast Specialty Ground Coffee,False,,,False,,,False,,,False,4195307508.0,0
291 g,nan,False,Garden Vegetable Lasagna,Amys Kitchen Gluten Free Garden Vegetable Lasagna,False,290.0,,False,4.0,,False,0.72,,False,4227290041.0,0
269 g,nan,False,Mexican Casserole,Amys Kitchen Mexican Casserole Bowl,False,380.0,,False,5.0,,False,0.78,,False,4227290163.0,0
250 ml,nan,False,Lentil Soup,Amys Kitchen Organic Lentil Soup,False,190.0,,False,1.0,,False,0.64,,False,4227290502.0,0
250 ml,nan,False,Organic Medium Chili with Vegetables,Amys Kitchen Organic Medium Chili with Vegetables,False,200.0,,False,0.0,,False,0.59,,False,4227290511.0,0
15 g,nan,False,Organic Unsweetened Coconut,"Lets Do Organic - Unsweetened Shredded Coconut, 227 g",False,100.0,,False,9.0,,False,0.005,,False,4318201520.0,0
76 g,nan,False,Fakin' Bacon Smoky Tempeh Strips,Plant-Based Tempeh Strips Smoky,False,140.0,,False,0.0,,False,0.58,,False,4345400006.0,0
42 g,nan,False,Plant-Based Hot Dogs,Smart Dogs - Veggie Hot Dogs,False,60.0,,False,0.0,,False,0.36,,False,4345400037.0,0
30 g,nan,False,Plant Based Bacon,Lightlife Original Veggie Bacon,False,60.0,,False,0.0,,False,0.49,,False,4345400041.0,0
66 g,nan,False,Veggie Sausage,Gimme Lean Veggie Sausage,False,60.0,,False,0.0,,False,0.4,,False,4345400042.0,0
56 g,nan,False,Plant-Based Chicken,Veggie Chickn Tenders,False,60.0,,False,0.0,,False,0.29,,False,4345400043.0,0
57 g,nan,False,Plant-Based Crumbles,Plant-Based - Ground Zesty Italian Veggie,False,80.0,,False,0.0,,False,0.47,,False,4345400046.0,0
52 g,nan,False,Deli Charcuterie Plant-Based Veggie Turkey,Plant-Based Deli Veggie Turkey,False,100.0,,False,0.0,,False,0.31,,False,4345400047.0,0
