serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,upc_code,total_match_count
10 ml,10 ml,True,100% Pure Vegetable Oil,Vegetable Oil,False,80.0,80.0,True,1.0,1.5,False,,0.0,False,761720000144.0,2
10 ml,10 ml,True,100% Pure Canola Oil,Canola Oil,False,80.0,80.0,True,0.0,0.5,False,,0.0,False,761720192085.0,2
10 ml,10 ml,True,100% Pure Corn Oil,Corn Oil,False,80.0,80.0,True,1.0,1.0,True,,0.0,False,761720192115.0,3
,,False,True North Blend Ground Coffee K-Cup Pods,Starbucks True North Blend Blonde Roast Ground Coffee K-Cup Pods,False,,,False,,,False,,,False,762111204684.0,0
,,False,Torréfaction Italian Dark Roast Ground Coffee,Italian Roast ground coffee,False,,,False,,,False,,,False,762111300096.0,0
,,False,Pumpkin Spice Flavoured Ground Coffee K-Cup Pods,Pumpkin Spice Flavoured Ground Coffee K-Cup Pods,True,,,False,,,False,,,False,762111311122.0,1
125 ml,,False,Signature Black Coffee Concentrate,"Cold Brew Coffee Concentrate, Signature Black",False,10.0,,False,,,False,,,False,762111426659.0,0
,,False,French Roast Dark Roast Ground Coffee,French Roast R&G,False,,,False,,,False,,,False,762111898043.0,0
,,False,Holiday Blend Medium Roast Ground Coffee K-Cup Pods,K-CUP Roast Ground Coffee Holiday Blend,False,,,False,,,False,,,False,762111984142.0,0
,,False,Caramel Flavoured Ground Coffee,Breakfast Blend Whole Bean coffee,False,,,False,,,False,,,False,762111985330.0,0
30 g,30 g,True,Mild Guacamole,Spicy Guacamole,False,50.0,50.0,True,0.0,0.5,False,0.14,0.12,False,767119321692.0,2
57 g,57 g,True,Guacamole,Guacamole Authentic Flavor 6 Cups,False,100.0,100.0,True,1.0,0.0,False,0.257,0.26,False,767119520682.0,2
30 g,30 g,True,Guacamole,Authentic Guacamole,False,50.0,50.0,True,0.0,0.5,False,0.135,0.12,False,767119521696.0,2
30 g,,False,Guacamole Squeeze,Squeeze Guacamole,False,50.0,,False,0.0,,False,0.14,,False,767119724509.0,0
28 g,per 28 g,False,Reserve Cheddar Cheese,"Irish Cheddar, 2-Year Aged",False,110.0,110.0,True,6.0,6.0,True,0.21,0.21,True,767707001586.0,3
30 g,30 g,True,Roasted Garlic Hummus,"Organic Hummus, Roasted Garlic",False,80.0,80.0,True,0.0,0.5,False,0.12,0.12,True,770333026526.0,3
30 g,30 g,True,Traditional Hummus,"Organic Hummus, Traditional",False,80.0,80.0,True,0.0,0.5,False,0.12,0.12,True,770333026557.0,3
150 g,,False,Blueberry Vanilla Ready-to-Eat Oat Bowl,Oat Bowl Vanilla 3 Pack,False,210.0,,False,3.0,,False,0.2,,False,773200718470.0,0
150 g,,False,Apple Cinnamon Ready-to-Eat Oat Bowl,Oatbowl Apple Cinnamon 3 Pack,False,230.0,,False,4.0,,False,0.2,,False,773200718487.0,0
150 g,,False,Vanilla Ready-to-Eat Oat Bowl,Oatbowl Vanilla 3 Pack,False,270.0,,False,6.0,,False,0.2,,False,773200718494.0,0
140 g,,False,Barbeque Sweet Asian BBQ Pulled Pork in Sweet & Savoury Sauce,Asian Pulled Pork,False,280.0,,False,4.0,,False,0.76,,False,773220104048.0,0
140 g,140 g,True,Barbeque Pulled Pork in Lou's Barbeque Sauce,Pulled Pork,False,280.0,280.0,True,5.0,5.0,True,0.29,0.29,True,773220104055.0,4
140 g,100 g,False,Homestyle Philly-Style Shaved Steak,Philly Style Shaved Steak,False,200.0,120.0,False,3.0,1.5,False,0.62,0.45,False,773220105045.0,0
140 g,140 g,True,Homestyle Beef Pot Roast Au Jus,Roast Beef au Jus,False,270.0,270.0,True,6.0,6.0,True,0.44,0.44,True,773220105069.0,4
140 g,140 g,True,Homestyle Shaved Beef Au Jus,Shaved Beef au Jus,False,210.0,210.0,True,4.0,4.0,True,0.59,0.59,True,773220105144.0,4
32 g,32 g,True,Creamy Toasted Soy Spread,Soy Spread Toasted 5 To-Go Cups,False,190.0,190.0,True,3.0,3.0,True,0.1,0.1,True,773948500009.0,4
250 ml,1 cup,False,2% Goat Milk,"Goat Milk, 2%",False,120.0,120.0,True,3.0,3.0,True,0.1,0.1,True,776090101018.0,3
30 g,30 g,True,Unsalted Cashews,"Cashews, Unsalted",False,190.0,180.0,False,3.0,3.0,True,0.0,0.0,True,776703042523.0,3
250 ml,250 ml,True,Organic Mango & Peach Juice,Organic Mango & Peach Juice,True,120.0,120.0,True,0.0,0.1,False,0.005,0.005,True,779172417199.0,4
,,False,Organic Japanese Green Tea,Organic Green Tea,False,,,False,,,False,,,False,779192402328.0,0
28 g,28 g,True,Hot Muffuletta,Tapenade Muffuletta Hot,False,50.0,50.0,True,0.0,0.0,True,0.26,0.26,True,779921372052.0,4
,,False,Awake English Breakfast Tea,English Breakfast Tea Bag,False,,,False,,,False,,,False,794522002245.0,0
125 ml,125 ml,True,Chai Latte Black Tea Concentrate,Concentrate Chai Latte Tea Bag,False,70.0,70.0,True,0.0,0.0,True,0.005,0.005,True,794522002252.0,4
30 g,30 g,True,Paneer Cheese,Fresh Paneer,False,90.0,90.0,True,5.0,5.0,True,0.005,0.005,True,797677100170.0,4
15 ml,15 ml,True,Our Famous Teriyaki Sauce,Teriyaki Sauce,False,20.0,25.0,False,0.0,0.0,True,0.35,0.36,False,804810881008.0,2
50 g,50 g,True,Fiery Chile Limón Tortilla Chips,Fiery Chili Limon Tortilla Chips,False,250.0,250.0,True,2.0,2.0,True,0.34,0.34,True,810002650055.0,4
250 ml,,False,Original Plant-Based Beverage,Sproud Plant Based Original Beverage,False,90.0,,False,0.0,,False,0.095,,False,810032260019.0,0
250 ml,,False,Chocolate Flavoured Plant-Based Beverage,Sproud Plant Based Chocolate Beverage,False,125.0,,False,0.0,,False,0.095,,False,810032260033.0,0
250 ml,,False,Unsweetened Plant-Based Beverage,Sproud Plant Based Unsweetened Beverage,False,60.0,,False,0.0,,False,0.095,,False,810032260071.0,0
55 g,85 g,False,No Salt Added Wild Albacore Tuna,"Wild Solid White Albacore Tuna, No Salt Added",False,90.0,110.0,False,0.0,0.5,False,0.015,0.045,False,810757005117.0,0
55 g,113 g,False,No Salt Added Wild Sockeye Salmon,"Wild Sockeye Salmon, No Added Salt",False,110.0,190.0,False,2.0,1.5,False,0.035,0.055,False,810757005520.0,0
55 g,55 g,True,Wild Sockeye Salmon,Wild Skinless Boneless Sockeye Salmon,False,70.0,70.0,True,0.0,0.4,False,0.15,0.15,True,810757006510.0,3
56 g,56 g,True,Wild Pacific Sardines in Tomato Sauce,"Wild Pacific Sardines, Tomato Sauce",False,80.0,90.0,False,1.0,1.0,True,0.15,0.18,False,810757009177.0,2
62 g,62 g,True,Gluten Free Artisan Baker Multigrain Bread,Schär Gluten Free Artisan Baker Multigrain Bread,False,170.0,180.0,False,0.0,0.5,False,0.21,0.21,True,810757011248.0,2
62 g,62 g,True,Gluten Free Artisan Baker White Bread,Schär Gluten Free Artisan Baker White Bread,False,170.0,170.0,True,0.0,0.4,False,0.23,0.21,False,810757011255.0,2
80 ml,80 ml,True,Bourbon Vanilla Bean Small Batch Gelato,Bourbon Vanilla Bean Gelato,False,110.0,100.0,False,2.0,2.0,True,0.03,0.025,False,812827003016.0,2
188 ml,125 ml,False,Dairy Free Raspberry Lime Small Batch Sorbetto,Raspberry Lime Sorbetto,False,150.0,100.0,False,0.0,0.0,True,0.0,0.005,False,812827003078.0,1
188 ml,80 ml,False,Dairy Free Mango Pineapple Small Batch Sorbetto,Mango Pineapple Sorbetto,False,170.0,100.0,False,0.0,0.0,True,0.0,0.004,False,812827003085.0,1
45 g,,False,"Rice, Buckwheat & Split Pea Blend",Organic Rice Split Pea,False,160.0,,False,0.0,,False,0.0,,False,813515020018.0,0
45 g,,False,Organic Rice & Lentil Blend,Organic Rice and Lentil Blend,False,160.0,,False,0.0,,False,0.0,,False,813515020025.0,0
45 g,,False,"Organic Wheat, Barley & Oat Blend",Organic Wheat Barley oat,False,160.0,,False,0.0,,False,0.0,,False,813515020032.0,0
,,False,Organic Ground Black Pepper,Ground Black Pepper Organic,False,,,False,,,False,,,False,813724024135.0,0
,,False,Organic Ground Cinnamon,Ground Cinnamon Organic,False,,,False,,,False,,,False,813724024142.0,0
,,False,Organic Black Peppercorn Grinder,Organic Black Pepper Grinder,False,,,False,,,False,,,False,813724024227.0,0
1 g,,False,Mediterranean Sea Salt Grinder,Sea Salt Grinder,False,0.0,,False,,,False,0.4,,False,813724024234.0,0
1 g,,False,Organic Garlic Salt Grinder,Organic Garlic Salt Grinder,True,1.0,,False,,,False,0.27,,False,813724024494.0,1
1 g,,False,Organic Garlic Peppercorn Grinder,Organic Garlic Pepper Grinder,False,2.0,,False,,,False,0.065,,False,813724024500.0,0
60 g,60 g,True,Simply Nutty Muesli,Simply Nutty Muesli,True,230.0,230.0,True,0.0,0.5,False,0.005,0.005,True,814930010486.0,4
15 ml,15 ml,True,Traditional Avocado Oil Mayonnaise,Avocado Oil Mayo,False,100.0,100.0,True,2.0,1.5,False,0.055,0.085,False,815074020003.0,2
5 ml,5.0 ml,False,Red Hot Sauce,El Yucateco Red Hot Sauce,False,0.0,0.0,True,,0.0,False,0.09,0.09,True,816493010019.0,2
5 ml,5.0 ml,False,Green Hot Sauce,"Green Hot Sauce, Habanero Pepper",False,0.0,0.0,True,,0.0,False,0.095,0.1,False,816493010026.0,1
5 ml,5.0 ml,False,Sauce Kutbil-ik Au Piment Habanero Xxxtra Hot Sauce,Extra Hot Sauce,False,0.0,0.0,True,,0.0,False,0.105,0.105,True,816493010057.0,2
5 ml,5.0 ml,False,Caribbean Hot Sauce,"Caribbean Sauce, Hot",False,0.0,0.0,True,,0.0,False,0.075,0.075,True,816493010156.0,2
1 ml,1/4 tsp,False,Original Zero Calorie Liquid Sweetener,Pure Via Stevia Liquid,False,0.0,0.0,True,,0.0,False,,0.0,False,816757000664.0,1
50 g,50 g,True,Sweet & Salty Kettle Popcorn,Popcorn Sweet & Salty Kettle,False,250.0,250.0,True,1.0,1.0,True,0.2,0.2,True,816925021088.0,4
50 g,50 g,True,Butter Flavoured Popcorn,Popcorn Butter Flavoured,False,250.0,250.0,True,2.0,2.0,True,0.34,0.34,True,816925021095.0,4
31 g,31 g,True,Ricotta Fresh Soft Cheese,Ricotta Cheese,False,60.0,60.0,True,3.0,3.0,True,0.09,0.09,True,817351000012.0,4
50 g,50 g,True,Vitality Mix,Energy Women's Vitality Mix,False,220.0,220.0,True,3.0,3.0,True,0.01,0.01,True,817699000071.0,4
50 g,28 g,False,Raw Macadamia Nuts,Raw Macadamia Nuts,True,360.0,200.0,False,6.0,3.5,False,0.003,0.001,False,817699000095.0,1
50 g,40 g,False,Raw Pecan Nuts,Roasted Pecan Halves,False,350.0,270.0,False,3.0,2.0,False,0.0,0.0,True,817699000101.0,1
40 g,28 g,False,Organic Raw Almonds,Organic Almonds,False,240.0,160.0,False,2.0,1.0,False,0.015,0.0,False,817699000316.0,0
50 g,50 g,True,Organic Pumpkin Seeds,Organic Raw Pumpkin Seeds,False,280.0,280.0,True,4.0,4.5,False,0.004,0.004,True,817699000347.0,3
50 g,50g,False,Organic Walnut,Organic Walnut Halves,False,330.0,330.0,True,3.0,3.0,True,0.001,0.001,True,817699000361.0,3
40 g,28 g,False,Organic Raw Cashews,Organic Raw Cashews,True,230.0,150.0,False,3.0,2.0,False,0.0,0.003,False,817699000378.0,1
473 ml,,False,Blue Raz Caffeinated Energy Drink,Rockstar Xd Thermo Blue Raz,False,10.0,,False,0.0,,False,0.045,,False,818094007849.0,0
473 ml,,False,Cotton Candy Caffeinated Energy Drink,Thermo Cotton Candy,False,10.0,,False,0.0,,False,0.045,,False,818094007863.0,0
473 ml,,False,Marshmallow Caffeinated Energy Drink,Rockstar Xd Thermo Marshmallow,False,10.0,,False,0.0,,False,0.045,,False,818094007887.0,0
